Ch1 Amplitude,Ch2 Amplitude,Cluster
2258.13232,1471.72583,1
2344.12744,6874.85938,4
2351.28,7052.59961,4
2355.103,1717.2616,1
2357.784,1572.43567,1
2363.577,1726.25745,1
2365.314,1698.49536,1
2370.58716,1740.548,1
2373.157,1643.24377,1
2377.929,1690.56763,1
2377.93042,1734.02539,1
2380.65869,1703.94434,1
2382.0022,6914.45752,4
2382.63062,6850.74658,4
2385.05322,1699.63879,1
2387.75464,1657.90137,1
2388.561,1669.93738,1
2389.49072,1638.10889,1
2390.38354,1683.5686,1
2390.402,1763.92725,1
2391.29224,1732.35852,1
2392.7998,1600.28833,1
2394.52,6975.432,4
2394.82886,1732.12158,1
2395.83057,6531.444,4
2396.55737,6650.83057,4
2397.09644,1621.94421,1
2397.14282,1724.58643,1
2397.369,1671.34521,1
2397.43433,1673.10938,1
2397.90649,1689.51709,1
2399.4668,1602.85168,1
2399.64746,7335.29,4
2399.74854,1597.36047,1
2400.3042,6838.199,4
2400.65918,1656.72156,1
2401.15283,1736.22266,1
2401.81714,1668.90283,1
2401.93945,1650.53125,1
2402.35962,1632.963,1
2402.42334,7057.429,4
2402.89551,1823.7616,1
2402.90649,1578.8147,1
2403.54614,7006.36475,4
2403.77661,1688.45288,1
2403.93726,1682.71191,1
2404.41333,7025.45361,4
2404.78882,1690.15857,1
2404.8252,1740.77734,1
2407.13379,1734.88684,1
2407.32349,1636.45984,1
2407.6333,1753.01453,1
2407.75757,1683.71948,1
2407.80322,1749.46313,1
2407.85864,1763.3042,1
2407.97144,1702.50464,1
2408.08423,1720.48779,1
2408.599,6798.94971,4
2408.67554,1763.78259,1
2408.73828,7087.353,4
2409.03613,1681.88623,1
2409.27612,6558.1377,4
2409.28638,1613.501,1
2409.30029,1782.61536,1
2409.36279,1679.41711,1
2409.386,1675.03723,1
2409.464,1663.51453,1
2409.99731,1698.79224,1
2410.1604,1726.964,1
2410.60767,1688.71313,1
2410.87183,1732.02039,1
2411.51587,1635.73389,1
