Ch1 Amplitude,Ch2 Amplitude,Cluster
2255.1814,1564.89185,1
2312.94946,1579.3689,1
2327.332,6622.34473,4
2330.381,1698.33594,1
2331.45874,1720.17578,1
2333.278,6975.9624,4
2335.898,1684.22131,1
2336.82813,6854.35449,4
2338.38184,1659.43909,1
2340.61475,1794.30383,1
2341.8606,6864.669,4
2342.03369,1653.7074,1
2342.28516,1590.62891,1
2343.508,6839.643,4
2344.774,6917.34473,4
2346.537,1648.81531,1
2349.099,1679.83838,1
2350.03662,1759.29822,1
2351.84082,1689.55115,1
2353.33276,6687.638,4
2353.89038,1664.48157,1
2354.199,1652.43091,1
2355.412,6696.834,4
2355.73218,7055.81445,4
2358.33936,6947.939,4
2358.86328,1619.82434,1
2359.34473,1744.21252,1
2359.73584,7058.30859,4
2360.98535,1613.40747,1
2361.03638,6976.922,4
2361.102,6835.93359,4
2362.93286,1695.57227,1
2363.921,1678.30139,1
2365.33,1688.28845,1
2365.47119,1628.20386,1
2366.113,6897.84766,4
2367.484,1617.80286,1
2369.70679,6937.13232,4
2369.78271,7108.931,4
2370.24463,1629.34314,1
2371.31055,1730.93018,1
2371.41943,1638.11255,1
2371.645,1600.39771,1
2371.80664,6836.8335,4
2372.18555,1689.91479,1
2372.47339,1718.58057,1
2373.14453,1646.065,1
2373.83472,1683.28906,1
2375.764,1692.362,1
2376.4978,6978.87061,4
2376.50439,1655.61035,1
2376.789,1644.92114,1
2377.466,1808.79968,1
2377.9812,1509.27576,1
2378.28516,1626.20239,1
2379.22314,7015.74072,4
2379.54,7004.5293,4
2379.595,1653.9292,1
2379.69824,1730.841,1
2379.72632,1661.70483,1
2380.09131,1640.11169,1
2380.19678,6954.47266,4
2380.3457,6745.618,4
2380.386,1669.522,1
2380.65332,1776.26233,1
2380.65869,1744.97729,1
2380.68457,1587.25623,1
2380.71069,7016.62,4
2380.84277,1711.31262,1
2381.198,1592.32178,1
2382.23315,1684.00427,1
2382.24268,6940.754,4
2382.34863,6964.28857,4
2382.82373,1605.78162,1
2383.01685,1766.67224,1
2383.09277,6908.94238,4
2383.1582,6839.49463,4
2383.854,1693.5603,1
2383.91187,1603.9928,1
2384.695,1689.85986,1
2384.803,1674.06812,1
2384.811,7009.42871,4
2384.99683,7030.828,4
2385.31616,1642.234,1
2385.7832,1601.445,1
2385.85571,1707.13574,1
2386.119,1736.40881,1
2386.13013,1692.18884,1
2386.236,1697.02917,1
2386.83643,1640.87256,1
2387.1875,1725.17627,1
2387.60034,6950.89551,4
2387.9,6976.58057,4
2387.90234,6836.998,4
2388.09863,1740.59106,1
2388.11865,1628.31152,1
2388.14478,1651.02832,1
2388.15234,1655.32288,1
