Ch1 Amplitude,Ch2 Amplitude
2243.735,1626.77661
2243.80249,1584.57507
2243.98022,1588.17065
2244.009,1659.16333
2244.01,1549.70544
2244.06128,7162.19629
2244.183,7112.72363
2244.21558,1593.525
2244.21655,1557.28992
2244.31787,1557.186
2244.336,1532.24243
2244.3396,1508.7196
2244.517,1554.39331
2244.56348,1476.18079
2244.60278,1646.59985
2244.606,1587.6427
2244.62769,7454.592
2244.7793,1578.88245
2244.79272,6094.218
2244.797,1494.73376
2244.79834,7299.217
2244.79932,7253.90771
2244.81274,1608.5675
2244.81934,1542.11145
2244.823,1557.67053
2244.86938,1660.79822
2244.90356,7004.81738
2245.06982,1517.51685
2245.09351,1617.10168
2245.142,1542.01636
2245.16455,1523.75208
2245.20044,1550.00366
2245.21,1709.16687
2245.32324,1518.22156
2245.381,1582.64661
2245.40039,1582.37109
2245.40112,1593.26978
2245.43823,1566.10645
2245.44873,1524.10107
2245.46167,1584.41724
2245.552,1580.38562
2245.728,1572.88013
2245.84253,1647.21057
2245.893,1646.37671
2245.94019,1715.93237
2245.97876,1550.78882
2246,1585.90454
2246.04517,1542.05713
2246.13379,1617.96729
2246.17847,7374.937
2246.183,7070.884
2246.24243,1596.235
2246.24634,1541.84229
2246.2583,1513.48328
2246.32275,1548.13623
2246.38184,7211.243
2246.4436,1567.50549
2246.46069,1571.51611
2246.54272,1559.95679
2246.58472,1509.62659
2246.585,1543.58508
2246.66113,1616.35657
2246.781,1577.64783
2246.78833,1559.18823
2246.80713,1614.95569
2246.82544,1609.604
2246.82544,1637.09009
2246.84985,1594.96265
2246.8584,1570.01379
2246.92944,1606.39514
2246.95825,1596.88647
2246.97681,7446.906
2246.996,1635.72388
2247.016,1581.975
2247.03979,1642.548
2247.072,1590.76733
2247.07446,1559.144
2247.091,1495.92822
2247.12085,1591.42468
2247.14014,1579.825
2247.15723,1548.415
2247.17114,1562.17358
2247.22949,1532.09058
2247.2373,1568.09424
2247.25513,1550.64624
2247.26514,1529.69617
2247.272,1605.22058
2247.376,7301.82764
2247.381,1690.45789
2247.402,1592.5697
2247.40259,7299.58057
2247.56372,1563.96
2247.59229,1543.18945
2247.69067,1523.60425
2247.70386,1693.30591
2247.75854,1558.02539
2247.81445,1643.37244
2247.864,1576.26221
2247.87671,1611.5675
2247.88037,1537.91248
2247.89478,1564.235
2247.928,1527.42529
2247.98755,1547.56616
2248.035,1543.64307
2248.13013,1577.768
2248.17578,1544.2572
2248.354,1608.01978
2248.38013,1584.193
2248.49927,1573.2644
2248.51221,7398.035
2248.521,1520.762
2248.5542,1644.35413
2248.57544,5158.941
2248.59082,1628.59558
2248.6106,1578.334
2248.64282,1521.9458
2248.65552,1609.42993
2248.65674,1616.3905
2248.724,1673.80164
2248.7478,1623.38269
2248.76929,1633.98145
2248.8335,1561.764
2248.853,7321.37158
2248.86816,7254.04346
2248.87085,6671.573
2248.87573,1655.5426
2248.883,1485.373
2248.91455,1611.50122
2248.92358,1618.93176
2248.94775,1593.68665
2248.9563,1575.86365
2248.98169,1608.35229
2249.0376,1661.009
2249.05322,1555.19128
2249.06,7107.57227
2249.07275,1565.34229
2249.086,1621.35132
2249.10449,1555.41589
2249.18,7286.83447
2249.245,1572.35669
2249.26587,7331.67871
2249.28564,1597.43359
2249.28833,1525.3092
2249.31445,1578.6543
2249.32813,1545.46741
2249.35742,1632.03528
2249.399,1560.112
2249.40576,1622.17822
2249.47,1555.92285
2249.50366,1571.28735
2249.67847,7343.573
2249.72119,1551.69641
2249.72852,1565.19727
2249.769,7311.059
2249.78223,1545.26208
2249.83545,1606.65186
2249.84424,1583.09326
2249.86548,1595.31543
2249.873,1639.1344
2249.877,6897.055
2249.89868,1588.07666
2250.01025,1541.2616
2250.0293,1515.62769
2250.03369,1642.46179
2250.10864,7235.899
2250.12061,1499.78674
2250.16455,1563.25842
2250.30371,1539.00793
2250.319,1577.37512
2250.34937,1632.00415
2250.362,1653.03711
2250.36426,1576.18469
2250.38965,1568.076
2250.40332,7190.44971
2250.438,1569.45862
2250.47852,1559.55457
2250.48315,1536.53882
2250.49878,1619.37134
2250.553,1627.32556
2250.56226,1500.77661
2250.56372,1531.30225
2250.56445,1601.53
2250.627,1560.11487
2250.65576,7182.274
2250.67432,1617.847
2250.747,7334.825
2250.74854,1608.60071
2250.75513,1480.24963
2250.84961,1485.33679
2250.85229,1490.37061
2250.89185,1521.3479
2251.00732,1614.42041
2251.01245,7223.72461
2251.03149,1505.83508
2251.04126,6679.57666
2251.05664,7206.8877
2251.086,1634.32
2251.15186,1528.14209
2251.1604,1608.87878
2251.17676,1589.98694
2251.24048,1606.13171
2251.30151,1530.83374
2251.30957,1668.85559
2251.336,1571.66162
2251.426,1676.15076
2251.455,1558.22241
2251.59619,1585.23511
2251.641,7285.79443
2251.64233,1584.67712
2251.65869,1530.98267
2251.75244,1580.4668
2251.76978,1593.06372
2251.78,1503.92029
2251.86914,1619.03015
2251.87549,7415.45
2251.8772,1570.78931
2251.88965,1539.37939
2251.912,1592.02356
2251.91431,1509.86975
2251.91968,1544.38074
2251.949,1510.619
2252.00635,1557.02271
2252.02856,1686.339
2252.03076,1568.50281
2252.05029,1645.36975
2252.06055,1551.10291
2252.144,1591.23462
2252.2146,1583.64807
2252.2168,1615.22253
2252.3667,1694.444
2252.38037,1598.8186
2252.41,1630.43726
2252.411,1547.81116
2252.45361,1571.63245
2252.49878,1575.88208
2252.51147,1619.68042
2252.51147,1568.2085
2252.54175,5960.005
2252.55835,1599.42078
2252.63037,1586.842
2252.6355,1537.96216
2252.645,1609.84583
2252.64624,1533.93335
2252.66626,1578.7959
2252.70947,1522.62622
2252.87061,1629.58081
2252.87451,1570.86975
2252.9165,1550.679
2252.96948,1612.46
2253.078,1647.84949
2253.092,1566.66028
2253.09888,1573.43848
2253.14136,1611.94214
2253.228,1635.23877
2253.25928,1595.77747
2253.272,1541.168
2253.28,1615.0387
2253.29272,1573.63977
2253.35278,1610.85913
2253.35767,1639.94128
2253.365,1659.32666
2253.38184,1658.52771
2253.40967,7430.01074
2253.4126,1539.37488
2253.44263,1612.8678
2253.44775,1608.25989
2253.48242,1588.70667
2253.49683,1551.7157
2253.50342,1573.30176
2253.559,5960.31934
2253.56,1644.80017
2253.593,1538.2395
2253.60132,1538.0719
2253.61963,1500.07153
2253.639,6134.782
2253.67847,1561.5105
2253.71362,1546.69751
2253.728,1544.06677
2253.74585,1622.97693
2253.79,1597.3927
2253.803,1648.29883
2253.81982,1508.95923
2253.90649,1619.8584
2253.949,1619.021
2253.94922,1614.822
2253.96826,1576.33984
2254.07349,1518.5177
