Ch1 Amplitude,Ch2 Amplitude,Cluster
2574.66455,7310.031,1
2574.709,1833.60645,1
2574.81519,7375.06,1
2574.82471,7462.036,1
2575.107,7408.935,1
2575.1792,7635.53369,1
2575.58447,1713.03589,1
2575.73047,1893.232,1
2576.01245,7313.20459,1
2576.21362,7207.70947,1
2576.68237,7172.53467,1
2576.725,1780.45044,1
2576.90063,7133.93066,1
2577.023,1767.27551,1
2577.07861,7505.208,1
2577.65942,1627.969,1
2577.823,1576.20044,1
2577.90479,1762.08508,1
2578.31982,1549.0354,1
2578.43,7489.84668,1
2578.518,7311.459,1
2578.54785,7294.2085,1
2578.747,1677.84424,1
2578.797,7755.97754,1
2579.033,1723.7085,1
2579.05,7260.49756,1
2579.151,7521.07764,1
2579.21729,7320.36133,1
2579.28442,1766.59009,1
2579.28882,1721.21973,1
2579.61255,1662.66772,1
2579.66675,1621.06409,1
2579.77783,1630.94922,1
2579.80444,1719.5061,1
2579.917,1737.85669,1
2580.2356,1829.92786,1
2580.28467,7597.42334,1
2580.66064,7538.91162,1
2580.72314,1707.00378,1
2580.87085,7292.2915,1
2580.94653,1751.78723,1
2581.28833,7438.58838,1
2581.31152,1670.52063,1
2581.45532,7499.49268,1
2581.56934,7610.855,1
2581.84814,7505.44043,1
2581.90234,7287.3457,1
2581.97559,1744.61572,1
2582.10962,1719.88269,1
2582.12866,7369.841,1
2582.22534,1698.5365,1
2582.23486,7557.422,1
2582.61987,7388.023,1
2583.07715,7722.684,1
2583.235,1744.06116,1
2583.277,1791.2677,1
2583.3645,1634.29858,1
2583.77881,1745.89075,1
2583.83936,1916.20984,1
2583.841,1697.65088,1
2583.85425,7505.33838,1
2584.00659,7693.224,1
2584.05151,7629.48535,1
2584.06055,1637.72961,1
2584.10278,7516.381,1
2584.18286,1816.78979,1
2584.2168,7515.057,1
2584.323,1768.00818,1
2584.83154,7665.906,1
2584.96582,7546.6123,1
2585.33984,7436.71875,1
2585.358,7449.353,1
2585.37939,7470.226,1
2585.842,7770.39648,1
2585.95557,1787.332,1
2586.14453,8031.76465,1
2586.294,7203.021,1
2586.56445,1642.05078,1
2586.59277,1634.50415,1
2586.77124,7826.31836,1
2586.78638,7540.586,1
2586.867,1666.697,1
2587.01416,7320.958,1
2587.35278,1753.92688,1
2587.687,7597.29736,1
2587.73413,1737.55737,1
2587.82617,1836.99963,1
2587.83,7602.03467,1
2588.70068,1774.38318,1
2588.73779,7496.946,1
2588.74731,1814.9751,1
2588.874,7452.828,1
2589.009,7526.071,1
2589.01514,7193.77637,1
2589.10742,7400.53369,1
2589.268,1744.8822,1
2589.31,1804.88245,1
2589.33521,1807.98254,1
2589.52856,1717.12158,1
2589.64648,6178.09131,1
2589.68286,1718.19751,1
2589.78833,7596.37451,1
2589.95068,1765.42554,1
2589.9563,1784.57825,1
2589.999,7402.92334,1
2590.11328,7479.266,1
2590.28052,7454.748,1
2590.32739,7553.19873,1
2590.55566,1716.48547,1
2590.61768,7529.37061,1
2590.81152,7470.46875,1
2590.872,7603.40527,1
2590.90674,7532.426,1
2591.01025,7400.1167,1
2591.136,1781.6427,1
2591.15381,7955.65771,1
2591.25171,1707.34253,1
2591.30566,1861.72827,1
2591.327,7413.952,1
2591.44385,7473.97461,1
2591.45532,1741.41089,1
2591.5354,7471.52344,1
2591.55542,7355.138,1
2591.60742,1693.88342,1
2591.7124,1701.99158,1
2591.727,7514.728,1
2591.78125,7386.57471,1
2592.03369,7648.73926,1
2592.075,1836.58521,1
2592.16113,7512.245,1
2592.40942,7270.216,1
2592.57568,7364.64355,1
2592.61279,1789.53308,1
2592.633,1675.87891,1
2592.63647,7472.672,1
2592.767,1683.81506,1
2592.91846,1718.341,1
2593.09839,7539.581,1
2593.12427,7365.31055,1
2593.5896,1782.31543,1
2593.66064,1763.95935,1
2593.6665,1627.79138,1
2593.802,7504.89453,1
2593.90674,7602.945,1
2594.18018,1768.885,1
2594.287,1662.62207,1
2594.861,1745.07031,1
2594.926,7179.8335,1
2594.97876,7461.145,1
2595.088,1750.93884,1
2595.245,7346.593,1
2595.27954,1749.8551,1
2595.43677,7581.61,1
2596.25024,1699.124,1
2596.26367,7528.496,1
2596.29248,1767.74487,1
2596.3208,1786.33557,1
2596.33765,1716.16052,1
2596.44019,1817.49426,1
2596.50415,7325.91064,1
2596.69775,7861.64941,1
2596.715,7658.20361,1
2596.88257,7598.52246,1
2596.93652,7439.477,1
2597.03125,1749.40771,1
2597.17822,1700.17456,1
2597.25684,1730.288,1
2597.33813,7632.30469,1
2597.45117,7297.45166,1
2597.54614,7322.22754,1
2597.672,1710.56567,1
2597.992,1796.73,1
2598.11841,7605.326,1
2598.21826,1671.76575,1
2598.45386,1774.084,1
2598.74536,1766.2113,1
2598.747,7445.062,1
2598.7998,7313.503,1
2598.93481,7414.261,1
2599.06421,7751.82959,1
2599.077,7456.644,1
2599.19678,7461.169,1
2599.21631,7595.2876,1
2599.41968,7464.745,1
2599.51831,1754.936,1
2599.61719,1693.73669,1
2599.638,1795.12952,1
2599.93945,7300.488,1
